season,team,match_number,date,opponent,venue,goals_for,goals_against,result,points,cumulative_points,goal_difference,goals_for_total,goals_against_total,match_id,source_url,downloaded_at
2020-21,Arsenal,1,2020-09-12,Fulham,A,3,0,W,3,3,3,3,0,1,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,2,2020-09-19,West Ham,H,2,1,W,3,6,4,5,1,12,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,3,2020-09-28,Liverpool,A,1,3,L,0,6,2,6,4,28,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,4,2020-10-04,Sheffield United,H,2,1,W,3,9,3,8,5,35,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,5,2020-10-17,Man City,A,0,1,L,0,9,2,8,6,41,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,6,2020-10-25,Leicester,H,0,1,L,0,9,1,8,7,56,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,7,2020-11-01,Man United,A,1,0,W,3,12,2,9,7,65,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,8,2020-11-08,Aston Villa,H,0,3,L,0,12,-1,9,10,78,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,9,2020-11-22,Leeds,A,0,0,D,1,13,-1,9,10,85,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,10,2020-11-29,Wolves,H,1,2,L,0,13,-2,10,12,96,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,11,2020-12-06,Tottenham,A,0,2,L,0,13,-4,10,14,105,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,12,2020-12-13,Burnley,H,0,1,L,0,13,-5,10,15,116,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,13,2020-12-16,Southampton,H,1,1,D,1,14,-5,11,16,120,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,14,2020-12-19,Everton,A,1,2,L,0,14,-6,12,18,130,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,15,2020-12-26,Chelsea,H,3,1,W,3,17,-4,15,19,141,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,16,2020-12-29,Brighton,A,1,0,W,3,20,-3,16,19,150,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,17,2021-01-02,West Brom,A,4,0,W,3,23,1,20,19,161,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,18,2021-01-14,Crystal Palace,H,0,0,D,1,24,1,20,19,170,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,19,2021-01-18,Newcastle,H,3,0,W,3,27,4,23,19,179,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,20,2021-01-26,Southampton,A,3,1,W,3,30,6,26,20,188,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,21,2021-01-30,Man United,H,0,0,D,1,31,6,26,20,200,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,22,2021-02-02,Wolves,A,1,2,L,0,31,5,27,22,207,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,23,2021-02-06,Aston Villa,A,0,1,L,0,31,4,27,23,216,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,24,2021-02-14,Leeds,H,4,2,W,3,34,6,31,25,232,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
2020-21,Arsenal,25,2021-02-21,Man City,H,0,1,L,0,34,5,31,26,245,https://www.football-data.co.uk/mmz4281/2021/E0.csv,2026-05-25
